ID	strand	5seen	polyAseen	3seen	5end	polyAend	3end
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/13/0_276	+	0	1	1	NA	217	248
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/13/320_1049	-	0	1	1	NA	662	696
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/13/1092_1803	+	1	1	1	21	653	685
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/13/1844_2527	-	1	1	1	23	628	655
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/13/2571_3282	+	1	1	1	25	651	682
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/13/3326_3969	-	0	1	1	NA	583	611
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/15/0_696	+	0	1	1	NA	638	667
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/15/742_1456	-	1	1	1	25	657	686
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/15/1498_2236	+	1	1	1	26	679	707
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/15/2279_3005	-	0	1	1	NA	670	699
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/15/3054_3767	+	1	1	1	24	662	687
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/15/3808_4544	-	1	1	1	26	682	709
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/15/4585_5194	-	0	0	1	NA	NA	582
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/18/0_477	-	1	0	0	25	NA	NA
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/18/525_1297	+	1	1	1	19	715	743
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/18/1333_2068	-	1	1	1	25	686	708
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/18/2108_2894	+	1	1	1	23	721	760
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/18/2934_3681	-	1	1	1	24	688	717
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/18/3724_4512	+	1	1	1	25	730	758
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/18/4555_4892	-	0	1	1	NA	291	313
m120407_063017_42141_c100320212550000001523017409061204_s1_p0/20/0_320	NA	0	0	0	NA	NA	NA
